date_id,date,year,month,month_name,quarter,day,weekday,weekday_name,is_weekend
1,2018-01-01,2018,1,January,1,1,1,Monday,False
2,2018-01-02,2018,1,January,1,2,2,Tuesday,False
3,2018-01-03,2018,1,January,1,3,3,Wednesday,False
4,2018-01-04,2018,1,January,1,4,4,Thursday,False
5,2018-01-05,2018,1,January,1,5,5,Friday,False
6,2018-01-06,2018,1,January,1,6,6,Saturday,True
7,2018-01-07,2018,1,January,1,7,7,Sunday,True
8,2018-01-08,2018,1,January,1,8,1,Monday,False
9,2018-01-09,2018,1,January,1,9,2,Tuesday,False
10,2018-01-10,2018,1,January,1,10,3,Wednesday,False
11,2018-01-11,2018,1,January,1,11,4,Thursday,False
12,2018-01-12,2018,1,January,1,12,5,Friday,False
13,2018-01-13,2018,1,January,1,13,6,Saturday,True
14,2018-01-14,2018,1,January,1,14,7,Sunday,True
15,2018-01-15,2018,1,January,1,15,1,Monday,False
16,2018-01-16,2018,1,January,1,16,2,Tuesday,False
17,2018-01-17,2018,1,January,1,17,3,Wednesday,False
18,2018-01-18,2018,1,January,1,18,4,Thursday,False
19,2018-01-19,2018,1,January,1,19,5,Friday,False
20,2018-01-20,2018,1,January,1,20,6,Saturday,True
21,2018-01-21,2018,1,January,1,21,7,Sunday,True
22,2018-01-22,2018,1,January,1,22,1,Monday,False
23,2018-01-23,2018,1,January,1,23,2,Tuesday,False
24,2018-01-24,2018,1,January,1,24,3,Wednesday,False
25,2018-01-25,2018,1,January,1,25,4,Thursday,False
26,2018-01-26,2018,1,January,1,26,5,Friday,False
27,2018-01-27,2018,1,January,1,27,6,Saturday,True
28,2018-01-28,2018,1,January,1,28,7,Sunday,True
29,2018-01-29,2018,1,January,1,29,1,Monday,False
30,2018-01-30,2018,1,January,1,30,2,Tuesday,False
31,2018-01-31,2018,1,January,1,31,3,Wednesday,False
32,2018-02-01,2018,2,February,1,1,4,Thursday,False
33,2018-02-02,2018,2,February,1,2,5,Friday,False
34,2018-02-03,2018,2,February,1,3,6,Saturday,True
35,2018-02-04,2018,2,February,1,4,7,Sunday,True
36,2018-02-05,2018,2,February,1,5,1,Monday,False
37,2018-02-06,2018,2,February,1,6,2,Tuesday,False
38,2018-02-07,2018,2,February,1,7,3,Wednesday,False
39,2018-02-08,2018,2,February,1,8,4,Thursday,False
40,2018-02-09,2018,2,February,1,9,5,Friday,False
41,2018-02-10,2018,2,February,1,10,6,Saturday,True
42,2018-02-11,2018,2,February,1,11,7,Sunday,True
43,2018-02-12,2018,2,February,1,12,1,Monday,False
44,2018-02-13,2018,2,February,1,13,2,Tuesday,False
45,2018-02-14,2018,2,February,1,14,3,Wednesday,False
46,2018-02-15,2018,2,February,1,15,4,Thursday,False
47,2018-02-16,2018,2,February,1,16,5,Friday,False
48,2018-02-17,2018,2,February,1,17,6,Saturday,True
49,2018-02-18,2018,2,February,1,18,7,Sunday,True
50,2018-02-19,2018,2,February,1,19,1,Monday,False
51,2018-02-20,2018,2,February,1,20,2,Tuesday,False
52,2018-02-21,2018,2,February,1,21,3,Wednesday,False
53,2018-02-22,2018,2,February,1,22,4,Thursday,False
54,2018-02-23,2018,2,February,1,23,5,Friday,False
55,2018-02-24,2018,2,February,1,24,6,Saturday,True
56,2018-02-25,2018,2,February,1,25,7,Sunday,True
57,2018-02-26,2018,2,February,1,26,1,Monday,False
58,2018-02-27,2018,2,February,1,27,2,Tuesday,False
59,2018-02-28,2018,2,February,1,28,3,Wednesday,False
60,2018-03-01,2018,3,March,1,1,4,Thursday,False
61,2018-03-02,2018,3,March,1,2,5,Friday,False
62,2018-03-03,2018,3,March,1,3,6,Saturday,True
63,2018-03-04,2018,3,March,1,4,7,Sunday,True
64,2018-03-05,2018,3,March,1,5,1,Monday,False
65,2018-03-06,2018,3,March,1,6,2,Tuesday,False
66,2018-03-07,2018,3,March,1,7,3,Wednesday,False
67,2018-03-08,2018,3,March,1,8,4,Thursday,False
68,2018-03-09,2018,3,March,1,9,5,Friday,False
69,2018-03-10,2018,3,March,1,10,6,Saturday,True
70,2018-03-11,2018,3,March,1,11,7,Sunday,True
71,2018-03-12,2018,3,March,1,12,1,Monday,False
